"contr_country","client_country"
"Armenia","Aruba"
"Armenia","Australia"
"Armenia","Austria"
"Armenia","Azerbaijan"
"Armenia","Bahamas"
"Armenia","Bahrain"
"Armenia","Bangladesh"
"Armenia","Barbados"
"Armenia","Belarus"
"Armenia","Belgium"
"Armenia","Belize"
"Armenia","Bermuda"
"Armenia","Bolivia"
"Armenia","Bosnia and Herzegovina"
"Armenia","Brazil"
"Armenia","British Virgin Islands"
"Armenia","Brunei Darussalam"
"Armenia","Bulgaria"
"Armenia","Cambodia"
"Armenia","Cameroon"
"Armenia","Canada"
"Armenia","Cape Verde"
"Armenia","Cayman Islands"
"Armenia","Central African Republic"
"Armenia","Chile"
"Armenia","China"
"Armenia","Colombia"
"Armenia","Congo, the Democratic Republic of the"
"Armenia","Costa Rica"
"Armenia","Croatia"
"Armenia","Cyprus"
"Armenia","Czech Republic"
"Armenia","Denmark"
"Armenia","Djibouti"
"Armenia","Dominican Republic"
"Armenia","Ecuador"
"Armenia","Egypt"
"Armenia","El Salvador"
"Armenia","Estonia"
"Armenia","Ethiopia"
"Armenia","Faroe Islands"
"Armenia","Finland"
"Armenia","France"
"Armenia","Gabon"
"Armenia","Georgia"
"Armenia","Germany"
"Armenia","Ghana"
"Armenia","Gibraltar"
"Armenia","Greece"
"Armenia","Guam"
"Armenia","Guatemala"
"Armenia","Honduras"
"Armenia","Hong Kong"
"Armenia","Hungary"
"Armenia","Iceland"
"Armenia","India"
"Armenia","Indonesia"
"Armenia","Ireland"
"Armenia","Israel"
"Armenia","Italy"
"Armenia","Jamaica"
"Armenia","Japan"
"Armenia","Jordan"
"Armenia","Kazakhstan"
"Armenia","Kenya"
"Armenia","Kosovo"
"Armenia","Kuwait"
"Armenia","Laos"
"Armenia","Latvia"
"Armenia","Lebanon"
"Armenia","Lithuania"
"Armenia","Luxembourg"
"Armenia","Macao"
"Armenia","Macedonia"
"Armenia","Malaysia"
"Armenia","Maldives"
"Armenia","Malta"
"Armenia","Mauritius"
"Armenia","Mexico"
"Armenia","Moldova"
"Armenia","Monaco"
"Armenia","Mongolia"
"Armenia","Montenegro"
"Armenia","Morocco"
"Armenia","Namibia"
"Armenia","Nepal"
"Armenia","Netherlands"
"Armenia","Netherlands Antilles"
"Armenia","New Zealand"
"Armenia","Nicaragua"
"Armenia","Nigeria"
"Armenia","Norway"
"Armenia","Oman"
"Armenia","Pakistan"
"Armenia","Palestinian Territories"
"Armenia","Panama"
"Armenia","Papua New Guinea"
"Armenia","Peru"
"Armenia","Philippines"
"Armenia","Poland"
"Armenia","Portugal"
"Armenia","Puerto Rico"
"Armenia","Qatar"
"Armenia","Romania"
"Armenia","Russia"
"Armenia","Saudi Arabia"
"Armenia","Serbia"
"Armenia","Seychelles"
"Armenia","Singapore"
"Armenia","Slovakia"
"Armenia","Slovenia"
"Armenia","South Africa"
"Armenia","South Korea"
"Armenia","Spain"
"Armenia","Sri Lanka"
"Armenia","Swaziland"
"Armenia","Sweden"
"Armenia","Switzerland"
"Armenia","Taiwan"
"Armenia","Tanzania"
"Armenia","Thailand"
"Armenia","Togo"
"Armenia","Tokelau"
"Armenia","Tonga"
"Armenia","Trinidad and Tobago"
"Armenia","Tunisia"
"Armenia","Turkey"
"Armenia","Turkmenistan"
"Armenia","Uganda"
"Armenia","Ukraine"
"Armenia","United Arab Emirates"
"Armenia","United Kingdom"
"Armenia","United States"
"Armenia","United States Minor Outlying Islands"
"Armenia","United States Virgin Islands"
"Armenia","Uruguay"
"Armenia","Vanuatu"
"Armenia","Venezuela"
"Armenia","Vietnam"
"Armenia","Yemen"
"Aruba","Argentina"
"Aruba","Australia"
"Aruba","Bangladesh"
"Aruba","Belgium"
"Aruba","Brazil"
"Aruba","Cameroon"
"Aruba","Canada"
"Aruba","Chile"
"Aruba","China"
"Aruba","Colombia"
"Aruba","Costa Rica"
"Aruba","Croatia"
"Aruba","Cyprus"
"Aruba","Denmark"
"Aruba","El Salvador"
"Aruba","Finland"
"Aruba","France"
"Aruba","Germany"
"Aruba","Greece"
"Aruba","Hong Kong"
"Aruba","India"
"Aruba","Ireland"
"Aruba","Israel"
"Aruba","Italy"
"Aruba","Jamaica"
"Aruba","Jordan"
"Aruba","Kuwait"
"Aruba","Laos"
"Aruba","Lithuania"
"Aruba","Malaysia"
"Aruba","Mexico"
"Aruba","Montenegro"
"Aruba","Netherlands"
"Aruba","New Zealand"
"Aruba","Norway"
"Aruba","Pakistan"
"Aruba","Peru"
"Aruba","Philippines"
"Aruba","Poland"
"Aruba","Portugal"
"Aruba","Russia"
"Aruba","Saudi Arabia"
"Aruba","Singapore"
"Aruba","South Africa"
"Aruba","Spain"
"Aruba","Sweden"
"Aruba","Switzerland"
"Aruba","Thailand"
"Aruba","Trinidad and Tobago"
"Aruba","Tunisia"
"Aruba","United Kingdom"
"Aruba","United States"
"Aruba","Uruguay"
"Australia","245"
"Australia","Albania"
"Australia","Algeria"
"Australia","American Samoa"
"Australia","Andorra"
"Australia","Angola"
"Australia","Anguilla"
"Australia","Antarctica"
"Australia","Argentina"
"Australia","Armenia"
"Australia","Aruba"
"Australia","Australia"
"Australia","Austria"
"Australia","Bahamas"
"Australia","Bahrain"
"Australia","Bangladesh"
"Australia","Barbados"
"Australia","Belarus"
"Australia","Belgium"
"Australia","Belize"
"Australia","Benin"
"Australia","Bermuda"
"Australia","Bhutan"
"Australia","Bolivia"
"Australia","Bosnia and Herzegovina"
"Australia","Botswana"
"Australia","Brazil"
"Australia","British Indian Ocean Territory"
"Australia","British Virgin Islands"
"Australia","Brunei Darussalam"
"Australia","Bulgaria"
"Australia","Cambodia"
"Australia","Cameroon"
"Australia","Canada"
"Australia","Cape Verde"
"Australia","Cayman Islands"
"Australia","Chile"
"Australia","China"
"Australia","Colombia"
"Australia","Costa Rica"
"Australia","Croatia"
"Australia","Cyprus"
"Australia","Czech Republic"
"Australia","Denmark"
"Australia","Dominican Republic"
"Australia","Ecuador"
"Australia","Egypt"
"Australia","El Salvador"
"Australia","Estonia"
"Australia","Ethiopia"
"Australia","Faroe Islands"
"Australia","Finland"
"Australia","France"
"Australia","Gabon"
"Australia","Georgia"
"Australia","Germany"
"Australia","Ghana"
"Australia","Gibraltar"
"Australia","Greece"
"Australia","Greenland"
"Australia","Guam"
"Australia","Guatemala"
"Australia","Hong Kong"
"Australia","Hungary"
"Australia","Iceland"
"Australia","India"
"Australia","Indonesia"
"Australia","Iraq"
"Australia","Ireland"
"Australia","Israel"
"Australia","Italy"
"Australia","Jamaica"
"Australia","Japan"
"Australia","Jordan"
"Australia","Kazakhstan"
"Australia","Kenya"
"Australia","Kosovo"
"Australia","Kuwait"
"Australia","Kyrgyzstan"
"Australia","Laos"
"Australia","Latvia"
"Australia","Lebanon"
"Australia","Libya"
"Australia","Liechtenstein"
"Australia","Lithuania"
"Australia","Luxembourg"
"Australia","Macao"
"Australia","Macedonia"
"Australia","Malaysia"
"Australia","Malta"
"Australia","Mauritius"
"Australia","Mexico"
"Australia","Moldova"
"Australia","Monaco"
"Australia","Mongolia"
"Australia","Montenegro"
"Australia","Morocco"
"Australia","Mozambique"
"Australia","Namibia"
"Australia","Nepal"
"Australia","Netherlands"
"Australia","Netherlands Antilles"
"Australia","New Zealand"
"Australia","Nicaragua"
"Australia","Nigeria"
"Australia","Northern Mariana Islands"
"Australia","Norway"
"Australia","Oman"
"Australia","Pakistan"
"Australia","Palestinian Territories"
"Australia","Panama"
"Australia","Papua New Guinea"
"Australia","Paraguay"
"Australia","Peru"
"Australia","Philippines"
"Australia","Poland"
"Australia","Portugal"
"Australia","Puerto Rico"
"Australia","Qatar"
"Australia","Romania"
"Australia","Russia"
"Australia","Saint Kitts and Nevis"
"Australia","Saint Lucia"
"Australia","Saint Vincent and the Grenadines"
"Australia","Samoa"
"Australia","Saudi Arabia"
"Australia","Serbia"
"Australia","Seychelles"
"Australia","Singapore"
"Australia","Slovakia"
"Australia","Slovenia"
"Australia","Solomon Islands"
"Australia","South Africa"
"Australia","South Korea"
"Australia","Spain"
"Australia","Sri Lanka"
"Australia","Swaziland"
"Australia","Sweden"
"Australia","Switzerland"
"Australia","Taiwan"
"Australia","Tanzania"
"Australia","Thailand"
"Australia","Togo"
"Australia","Trinidad and Tobago"
"Australia","Tunisia"
"Australia","Turkey"
"Australia","Turkmenistan"
"Australia","Turks and Caicos Islands"
"Australia","Uganda"
"Australia","Ukraine"
"Australia","United Arab Emirates"
"Australia","United Kingdom"
"Australia","United States"
"Australia","United States Minor Outlying Islands"
"Australia","United States Virgin Islands"
"Australia","Uruguay"
"Australia","Vanuatu"
"Australia","Venezuela"
"Australia","Vietnam"
"Australia","Yemen"
"Austria","Algeria"
"Austria","Argentina"
"Austria","Australia"
"Austria","Austria"
"Austria","Bahrain"
"Austria","Bangladesh"
"Austria","Barbados"
"Austria","Belgium"
"Austria","Bermuda"
"Austria","Bolivia"
"Austria","Bosnia and Herzegovina"
"Austria","Brazil"
"Austria","British Virgin Islands"
"Austria","Bulgaria"
"Austria","Canada"
"Austria","Chile"
"Austria","China"
"Austria","Colombia"
"Austria","Congo, the Democratic Republic of the"
"Austria","Costa Rica"
"Austria","Croatia"
"Austria","Cyprus"
"Austria","Czech Republic"
"Austria","Denmark"
"Austria","Egypt"
"Austria","Estonia"
"Austria","Finland"
"Austria","France"
"Austria","Georgia"
"Austria","Germany"
"Austria","Gibraltar"
"Austria","Greece"
"Austria","Greenland"
"Austria","Guatemala"
"Austria","Hong Kong"
"Austria","Hungary"
"Austria","India"
"Austria","Indonesia"
"Austria","Ireland"
"Austria","Israel"
"Austria","Italy"
"Austria","Jamaica"
"Austria","Japan"
"Austria","Jordan"
"Austria","Kazakhstan"
"Austria","Kenya"
"Austria","Korea, Democratic People's Republic of"
"Austria","Kuwait"
"Austria","Kyrgyzstan"
"Austria","Latvia"
"Austria","Lebanon"
"Austria","Lithuania"
"Austria","Luxembourg"
"Austria","Malaysia"
"Austria","Malta"
"Austria","Mauritius"
"Austria","Mexico"
"Austria","Moldova"
"Austria","Monaco"
"Austria","Morocco"
"Austria","Netherlands"
"Austria","New Zealand"
"Austria","Nicaragua"
"Austria","Norway"
"Austria","Oman"
"Austria","Pakistan"
"Austria","Palestinian Territories"
"Austria","Panama"
"Austria","Peru"
"Austria","Philippines"
"Austria","Poland"
"Austria","Portugal"
"Austria","Puerto Rico"
"Austria","Qatar"
"Austria","Romania"
"Austria","Russia"
"Austria","Saudi Arabia"
"Austria","Serbia"
"Austria","Seychelles"
"Austria","Singapore"
"Austria","Slovakia"
"Austria","Slovenia"
"Austria","South Africa"
"Austria","South Korea"
"Austria","Spain"
"Austria","Sri Lanka"
"Austria","Sweden"
"Austria","Switzerland"
"Austria","Taiwan"
"Austria","Thailand"
"Austria","Togo"
"Austria","Trinidad and Tobago"
"Austria","Tunisia"
"Austria","Turkey"
"Austria","Uganda"
"Austria","Ukraine"
"Austria","United Arab Emirates"
"Austria","United Kingdom"
"Austria","United States"
"Austria","United States Virgin Islands"
"Austria","Uruguay"
"Austria","Vietnam"
"Austria","Yemen"
"Azerbaijan","Argentina"
"Azerbaijan","Australia"
"Azerbaijan","Austria"
"Azerbaijan","Bahamas"
"Azerbaijan","Belgium"
"Azerbaijan","Brazil"
"Azerbaijan","Canada"
"Azerbaijan","China"
"Azerbaijan","Croatia"
"Azerbaijan","Cyprus"
"Azerbaijan","Czech Republic"
"Azerbaijan","Denmark"
"Azerbaijan","Dominican Republic"
"Azerbaijan","Egypt"
"Azerbaijan","El Salvador"
"Azerbaijan","Finland"
"Azerbaijan","France"
"Azerbaijan","Germany"
"Azerbaijan","Greece"
"Azerbaijan","Hong Kong"
"Azerbaijan","India"
"Azerbaijan","Indonesia"
"Azerbaijan","Ireland"
"Azerbaijan","Israel"
"Azerbaijan","Italy"
"Azerbaijan","Jamaica"
"Azerbaijan","Japan"
"Azerbaijan","Jordan"
"Azerbaijan","Latvia"
"Azerbaijan","Lithuania"
"Azerbaijan","Luxembourg"
"Azerbaijan","Madagascar"
"Azerbaijan","Malaysia"
"Azerbaijan","Malta"
"Azerbaijan","Moldova"
"Azerbaijan","Netherlands"
"Azerbaijan","New Zealand"
"Azerbaijan","Pakistan"
"Azerbaijan","Panama"
"Azerbaijan","Philippines"
"Azerbaijan","Portugal"
"Azerbaijan","Romania"
"Azerbaijan","Russia"
"Azerbaijan","Saudi Arabia"
"Azerbaijan","Singapore"
"Azerbaijan","South Africa"
"Azerbaijan","Spain"
"Azerbaijan","Sweden"
"Azerbaijan","Switzerland"
"Azerbaijan","Thailand"
"Azerbaijan","Turkey"
"Azerbaijan","Ukraine"
"Azerbaijan","United Arab Emirates"
"Azerbaijan","United Kingdom"
"Azerbaijan","United States"
"Bahamas","Albania"
"Bahamas","Argentina"
"Bahamas","Australia"
"Bahamas","Austria"
"Bahamas","Bangladesh"
"Bahamas","Bolivia"
"Bahamas","Cameroon"
"Bahamas","Canada"
"Bahamas","Chile"
"Bahamas","China"
"Bahamas","Costa Rica"
"Bahamas","Cyprus"
"Bahamas","Egypt"
"Bahamas","Estonia"
"Bahamas","Finland"
"Bahamas","France"
"Bahamas","Germany"
"Bahamas","Hong Kong"
"Bahamas","India"
"Bahamas","Ireland"
"Bahamas","Israel"
"Bahamas","Japan"
"Bahamas","Kenya"
"Bahamas","Mexico"
"Bahamas","Netherlands"
"Bahamas","New Zealand"
"Bahamas","Nicaragua"
"Bahamas","Norway"
"Bahamas","Oman"
"Bahamas","Pakistan"
"Bahamas","Papua New Guinea"
"Bahamas","Philippines"
"Bahamas","Poland"
"Bahamas","Romania"
"Bahamas","Russia"
"Bahamas","Serbia"
"Bahamas","Seychelles"
"Bahamas","Singapore"
"Bahamas","South Korea"
"Bahamas","Spain"
"Bahamas","Sri Lanka"
"Bahamas","Sweden"
"Bahamas","Switzerland"
"Bahamas","Thailand"
"Bahamas","Turkey"
"Bahamas","United Arab Emirates"
"Bahamas","United Kingdom"
"Bahamas","United States"
"Bahrain","Algeria"
"Bahrain","Anguilla"
"Bahrain","Antigua and Barbuda"
"Bahrain","Argentina"
"Bahrain","Aruba"
"Bahrain","Australia"
"Bahrain","Austria"
"Bahrain","Bahamas"
"Bahrain","Bahrain"
"Bahrain","Bangladesh"
"Bahrain","Barbados"
"Bahrain","Belarus"
"Bahrain","Belgium"
"Bahrain","Bolivia"
"Bahrain","Bosnia and Herzegovina"
"Bahrain","Brazil"
"Bahrain","Bulgaria"
"Bahrain","Cambodia"
"Bahrain","Cameroon"
"Bahrain","Canada"
"Bahrain","Cape Verde"
"Bahrain","China"
"Bahrain","Colombia"
"Bahrain","Costa Rica"
"Bahrain","Croatia"
"Bahrain","Czech Republic"
"Bahrain","Denmark"
"Bahrain","Dominican Republic"
"Bahrain","Egypt"
"Bahrain","Estonia"
"Bahrain","Ethiopia"
"Bahrain","Finland"
"Bahrain","France"
"Bahrain","Germany"
"Bahrain","Ghana"
